Accession	Species	Group	Assembled Genome Size	N50	log(N50)	BUSCO completeness		
GCA_032358795.1	Nuttallia obscurata	Bivalvia	1291707517	3086	3.489395922	0.258		
GCA_027568995.1	Octopus americanus	Cephalopoda	2534512599	100565213	8.002447778	0.544		
GCA_027122535.1	Octopus maya	Cephalopoda	2341750473	89813523	7.953341732	0.747		
GCA_027568975.1	Octopus mimus	Cephalopoda	2057065956	80823707	7.907538766	0.371		
GCA_027564515.1	Octopus rubescens	Cephalopoda	2757134468	23148921	7.364530753	0.667		
GCA_024699665.1	Ostrea denselamellosa	Bivalvia	635891909	13952798	7.144661307	0.985		
GCA_903981925.1	Ostrea lurida	Bivalvia	1140787867	12947	4.112169148	0.500		
GCA_032355525.1	Pachydermia laevis	other Gastropoda	556785484	1482	3.170848204	0.151		
GCA_032361585.1	Peltospira operculata	other Gastropoda	480995166	1617	3.20871002	0.224		
GCA_032361425.1	Peltospira smaragdina	other Gastropoda	382629875	2775	3.443262987	0.398		
GCA_018327765.1	Perna viridis	Bivalvia	731874576	4106954	6.613519839	0.973		
GCA_032273245.1	Phyllaplysia taylori	other Heterobranchia	806246940	3922	3.593507589	0.481		
GCA_016161895.1	Pinna nobilis	Bivalvia	586482770	7576	3.879439966	0.401		
GCA_019648995.1	Plakobranchus ocellatus	other Heterobranchia	927888823	1453842	6.162517211	0.949		
GCA_032359645.1	Pododesmus macrochisma	Bivalvia	766574093	5114	3.708760724	0.343		
GCA_004794325.1	Pomacea maculata	other Gastropoda	432264763	375864	5.575030731	0.953		
GCA_016746295.1	Potamilus streckersoni	Bivalvia	1776755686	2051244	6.312017324	0.950		
GCA_032361205.1	Pseudorimula midatlantica	other Gastropoda	423420936	2903	3.462847036	0.309		
GCA_002072015.1	Radix auricularia	other Heterobranchia	909764068	578730	5.762475996	0.963		
GCA_003671525.1	Saccostrea glomerata	Bivalvia	788100799	804232	5.905381349	0.916		
GCA_032359765.1	Saxidomus gigantea	Bivalvia	921158569	3721	3.57065967	0.349		
GCA_022818135.1	Saxidomus purpurata	Bivalvia	1161000147	52225674	7.717884053	0.809		
GCA_031833965.1	Scyllaea pelagica	other Nudibranchia	646912406	2541	3.405004665	0.261		
GCA_031761405.1	Serripes groenlandicus	Bivalvia	1759664326	91689570	7.962319936	0.834		
GCA_032355785.1	Symmetromphalus regularis	other Gastropoda	626310314	6907	3.839289456	0.534		
GCA_029721355.1	Tegillarca granosa	Bivalvia	915485251	45661362	7.659548862	0.965		
GCA_030265255.1	Tritonia festiva	other Nudibranchia	908035819	1452	3.161966616	0.175		
GCA_030265355.1	Tritonia tetraquetra	other Nudibranchia	740546519	3514	3.545801757	0.451		
GCA_031762815.1	Tylodina fungina	other Heterobranchia	674588215	2213	3.344981414	0.145		
GCA_029339505.1	Unio delphinus	Bivalvia	2505958346	10919244	7.038192571	0.965		
GCA_003401595.1	Venustaconcha ellipsiformis	Bivalvia	1590012607	6657	3.823278557	0.534		
GCA_025802215.1	Wirenia argentea	Aplacophora	528769856	2992	3.475961589	0.185		
GCA_002216045.1	Pinctada imbricata	Bivalvia	990984031	59032463	7.771090904	0.846		
GCA_007844125.1	Sinonovacula constricta	Bivalvia	1220848272	65929677	7.819080948	0.849		
GCA_009760885.1	Achatina immaculata	other Heterobranchia	1653153977	56367627	7.751029752	0.964		
GCA_012295275.1	Chrysomallon squamiferum	other Gastropoda	404610835	30197426	7.479969926	0.972		
GCA_014843695.1	Archivesica marissinica	Bivalvia	1544610695	74312544	7.871062129	0.822		
GCA_015776775.1	Crassostrea hongkongensis	Bivalvia	608622584	55855599	7.747066714	0.986		
GCA_017311375.1	Mytilus coruscus	Bivalvia	1566529938	99542347	7.998007876	0.840		
GCA_019925275.1	Mytilus edulis	Bivalvia	1651313236	116503180	8.06633778	0.852		
GCA_020458035.1	Crassostrea ariakensis	Bivalvia	663145247	66336742	7.821754138	0.990		
GCA_021229015.1	Solen grandis	Bivalvia	1324491672	67678117	7.830448267	0.754		
GCA_021292105.1	Anadara kagoshimensis	Bivalvia	1115236308	60635260	7.782725244	0.946		
GCA_023376005.1	Doryteuthis pealeii	Cephalopoda	4598001602	107400528	8.031006416	0.873		
GCA_024364805.1	Euprymna scolopes	Cephalopoda	5116329061	120303996	8.080280053	0.792		
GCA_025267735.1	Mactra quadrangularis	Bivalvia	979316952	49304579	7.692887255	0.945		
GCA_025277285.1	Mytilus galloprovincialis	Bivalvia	1658655998	71952646	7.857046769	0.827		
GCA_028015205.1	Mytilisepta virgata	Bivalvia	1034479799	63395483	7.802058315	0.934		
GCA_028142955.1	Pinctada fucata	Bivalvia	930916280	66396765	7.82214692	0.954		
GCA_028554795.1	Sinohyriopsis cumingii	Bivalvia	3387447394	84386632	7.926273654	0.906		
GCA_028751875.1	Rapana venosa	other Gastropoda	2300182741	64632560	7.810451358	0.822		
GCA_028829895.1	Sinotaia purificata	other Gastropoda	984328742	141970838	8.152199146	0.951		
GCA_029237695.1	Conchocele bisecta	Bivalvia	1904932765	106883709	8.028911516	0.879		
GCA_029582155.1	Panopea generosa	Bivalvia	1474161289	73788920	7.867991154	0.928		
GCA_030562195.1	Nipponacmea schrenckii	other Gastropoda	418103701	37710995	7.576467991	0.967		
GCA_030674155.1	Stramonita haemastoma	other Gastropoda	2236578135	58439225	7.766704448	0.821		
GCA_030674185.1	Monoplex corrugatus	other Gastropoda	3075538138	86788771	7.938463538	0.844		
GCA_031216915.1	Pictodentalium vernedei	Scaphopoda	6018017311	580330342	8.763675278	0.892		
GCA_032622095.1	Siphonodentalium dalli	Scaphopoda	2226750531	264325503	8.422139067	0.954		
GCA_916613615.1	Steromphala cineraria	other Gastropoda	1270504078	70748747	7.849718753	0.976		
GCA_917208275.1	Patella pellucida	other Gastropoda	712072003	87163620	7.940335259	0.975		
GCA_921293015.1	Phorcus lineatus	other Gastropoda	957853961	49790511	7.697146583	0.980		
GCA_922989275.2	Gari tellinella	Bivalvia	1597633217	85279272	7.930843484	0.948		
GCA_936450465.1	Gibbula magus	other Gastropoda	1470404880	80454948	7.905552758	0.962		
GCA_943736015.1	Tridacna crocea	Bivalvia	1048985018	60802674	7.783922679	0.924		
GCA_944474755.1	Limnoperna fortunei	Bivalvia	1335578634	97051362	7.987001635	0.956		
GCA_945859785.2	Tridacna gigas	Bivalvia	1175968439	68447427	7.835357127	0.936		
GCA_946811185.1	Hippopus hippopus	Bivalvia	1068512719	63014760	7.799442287	0.934		
GCA_946902895.1	Fragum fragum	Bivalvia	1153092446	63927008	7.805684378	0.932		
GCA_947247005.1	Spisula solida	Bivalvia	932108243	52695421	7.721772879	0.937		
GCA_947623455.1	Mimachlamys varia	Bivalvia	975381475	50749371	7.705430664	0.985		
GCA_947846245.1	Cerastoderma edule	Bivalvia	755475726	39684391	7.59861972	0.931		
GCA_948146395.1	Fragum whitleyi	Bivalvia	1224670972	69779563	7.843728245	0.922		
GCA_948474765.1	Patella depressa	other Gastropoda	683711263	77532951	7.889486314	0.980		
GCA_949126835.1	Anisus vortex	other Heterobranchia	869544677	45417137	7.657219754	0.972		
GCA_963210305.1	Tridacna derasa	Bivalvia	1060251317	63680613	7.804007235	0.930		
GCA_963383655.1	Bathymodiolus septemdierum	Bivalvia	1428164251	99657287	7.99850906	0.967		
GCA_963457665.1	Thysanoteuthis rhombus	Cephalopoda	2735879045	60637448	7.782740915	0.932		
GCA_963556195.1	Sepiola atlantica	Cephalopoda	5586432960	122437953	8.08791606	0.885		
GCF_001194135.2	Octopus bimaculoides	Cephalopoda	2342534168	96881196	7.986239492	0.946		
GCF_003073045.1	Pomacea canaliculata	other Gastropoda	440159624	31531291	7.498741753	0.948		
GCF_006345805.1	Octopus sinensis	Cephalopoda	2719151902	105892736	8.02486617	0.949		
GCF_016097555.1	Gigantopelta aegis	other Gastropoda	1149605642	81591406	7.911644417	0.961		
GCF_020536995.1	Dreissena polymorpha	Bivalvia	1797942340	117515028	8.070093408	0.846		
GCF_021730395.1	Mercenaria mercenaria	Bivalvia	1858218093	82914371	7.91862981	0.852		
GCF_025612915.1	Crassostrea angulata	Bivalvia	624273838	60476782	7.781588674	0.986		
GCF_026914265.1	Mya arenaria	Bivalvia	1216086238	71556252	7.854647585	0.937		
GCF_902652985.1	Pecten maximus	Bivalvia	918306378	44824366	7.651514156	0.971		
GCF_902806645.1	Crassostrea gigas	Bivalvia	647887097	58462999	7.76688109	0.984		
GCF_932274485.2	Patella vulgata	other Gastropoda	695367781	87393929	7.941481265	0.976		
GCF_947242115.1	Biomphalaria glabrata	other Heterobranchia	850620091	48536009	7.686064062	0.954		
GCF_947568905.1	Ostrea edulis	Bivalvia	894786893	94306699	7.974542544	0.991		
TBA	Berghia stephanieae	Berghia	1047485581	85598909	7.932468229	0.933		
